v8-version,5,1,281,111,0
code-creation,Stub,15,0x2b1e55a20600,244,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a20700,935,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a20ac0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a20b40,120,"An IC handler from the snapshot"
code-creation,Stub,3,0x2b1e55a20bc0,117,"ToNumberStub"
code-creation,CallIC,12,0x2b1e55a20c40,458,"A call IC from the snapshot"
code-creation,Handler,4,0x2b1e55a20e20,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a20ea0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a20f20,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a20fa0,116,"An IC handler from the snapshot"
code-creation,KeyedLoadIC,11,0x2b1e55a21020,393,"A keyed load IC from the snapshot"
code-creation,KeyedLoadIC,11,0x2b1e55a211c0,1049,"A keyed load IC from the snapshot"
code-creation,Stub,3,0x2b1e55a215e0,968,"NameDictionaryLookupStub"
code-creation,Stub,15,0x2b1e55a219c0,467,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a21ba0,204,"BinaryOpICStub"
code-creation,Stub,3,0x2b1e55a21c80,945,"SubStringStub"
code-creation,Stub,3,0x2b1e55a22040,791,"FastNewClosureStub"
code-creation,Stub,15,0x2b1e55a22360,419,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a22520,415,"BinaryOpICStub"
code-creation,Stub,3,0x2b1e55a226c0,385,"JSEntryStub"
code-creation,CallIC,12,0x2b1e55a22860,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x2b1e55a228e0,464,"A call IC from the snapshot"
code-creation,Stub,3,0x2b1e55a22ac0,345,"InstanceOfStub"
code-creation,Stub,15,0x2b1e55a22c20,447,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a22de0,151,"BinaryOpICStub"
code-creation,StoreIC,13,0x2b1e55a22e80,528,"A store IC from the snapshot"
code-creation,Handler,4,0x2b1e55a230a0,120,"An IC handler from the snapshot"
code-creation,Stub,17,0x2b1e55a23120,192,"ToBooleanICStub"
code-creation,KeyedStoreIC,14,0x2b1e55a231e0,422,"A keyed store IC from the snapshot"
code-creation,KeyedStoreIC,14,0x2b1e55a233a0,3494,"A keyed store IC from the snapshot"
